game_id,opponent,week,season,tennessee_line,ml_pred_diff,edge,bet_recommendation,bet_amount,actual_diff,tennessee_covered,actual_profit,book
401403864,Ball State,1,2022,7.5,9.2,1.6999999999999993,NO BET,0,49,True,0.0,FanDuel
401403877,Pittsburgh,2,2022,7.5,3.56,-3.94,BET OPPONENT,100,7,False,91.0,FanDuel
401403889,Akron,3,2022,7.5,30.12,22.62,BET TENNESSEE,100,57,True,91.0,FanDuel
401403901,Florida,4,2022,7.5,10.84,3.34,BET TENNESSEE,100,5,False,-100.0,FanDuel
401403913,LSU,6,2022,7.5,7.44,-0.05999999999999961,NO BET,0,27,True,0.0,FanDuel
401403921,Alabama,7,2022,7.5,-11.92,-19.42,BET OPPONENT,100,3,False,91.0,FanDuel
401403926,UT Martin,8,2022,7.5,,,NO BET,0,41,True,0.0,FanDuel
401403930,Kentucky,9,2022,7.5,7.6,0.09999999999999964,NO BET,0,38,True,0.0,FanDuel
401403933,Georgia,10,2022,7.5,-7.4,-14.9,BET OPPONENT,100,-14,False,91.0,FanDuel
401403945,Missouri,11,2022,7.5,18.88,11.379999999999999,BET TENNESSEE,100,42,True,91.0,FanDuel
401403953,South Carolina,12,2022,7.5,22.32,14.82,BET TENNESSEE,100,-25,False,-100.0,FanDuel
401403964,Vanderbilt,13,2022,7.5,21.88,14.379999999999999,BET TENNESSEE,100,56,True,91.0,FanDuel
401442019,Clemson,1,2022,7.5,4.44,-3.0599999999999996,BET OPPONENT,100,17,True,-100.0,FanDuel
401520179,Virginia,1,2023,7.5,17.6,10.100000000000001,BET TENNESSEE,100,36,True,91.0,FanDuel
401520213,Austin Peay,2,2023,7.5,,,NO BET,0,17,True,0.0,FanDuel
401520224,Florida,3,2023,7.5,13.64,6.140000000000001,BET TENNESSEE,100,-13,False,-100.0,FanDuel
401520269,UTSA,4,2023,7.5,10.2,2.6999999999999993,NO BET,0,31,True,0.0,FanDuel
401520291,South Carolina,5,2023,7.5,12.64,5.140000000000001,BET TENNESSEE,100,21,True,91.0,FanDuel
401520326,Texas A&M,7,2023,7.5,6.48,-1.0199999999999996,NO BET,0,7,False,0.0,FanDuel
401520333,Alabama,8,2023,7.5,-2.56,-10.06,BET OPPONENT,100,-14,False,91.0,FanDuel
401520353,Kentucky,9,2023,7.5,11.52,4.02,BET TENNESSEE,100,6,False,-100.0,FanDuel
401520377,UConn,10,2023,7.5,27.32,19.82,BET TENNESSEE,100,56,True,91.0,FanDuel
401520391,Missouri,11,2023,7.5,12.2,4.699999999999999,BET TENNESSEE,100,-29,False,-100.0,FanDuel
401520419,Georgia,12,2023,7.5,-11.4,-18.9,BET OPPONENT,100,-28,False,91.0,FanDuel
401520442,Vanderbilt,13,2023,7.5,24.48,16.98,BET TENNESSEE,100,24,True,91.0,FanDuel
401551780,Iowa,1,2023,7.5,4.8,-2.7,NO BET,0,35,True,0.0,FanDuel
401628330,Chattanooga,1,2024,7.5,,,NO BET,0,66,True,0.0,FanDuel
401628346,NC State,2,2024,7.5,5.8,-1.7000000000000002,NO BET,0,41,True,0.0,FanDuel
401628360,Kent State,3,2024,7.5,29.48,21.98,BET TENNESSEE,100,71,True,91.0,FanDuel
401628369,Oklahoma,4,2024,7.5,4.64,-2.8600000000000003,NO BET,0,10,True,0.0,FanDuel
401628379,Arkansas,6,2024,7.5,19.6,12.100000000000001,BET TENNESSEE,100,-5,False,-100.0,FanDuel
401628391,Florida,7,2024,7.5,16.4,8.899999999999999,BET TENNESSEE,100,6,False,-100.0,FanDuel
401628397,Alabama,8,2024,7.5,-2.96,-10.46,BET OPPONENT,100,7,False,91.0,FanDuel
401628412,Kentucky,10,2024,7.5,16.96,9.46,BET TENNESSEE,100,10,True,91.0,FanDuel
401628416,Mississippi State,11,2024,7.5,23.44,15.940000000000001,BET TENNESSEE,100,19,True,91.0,FanDuel
401628421,Georgia,12,2024,7.5,-3.08,-10.58,BET OPPONENT,100,-14,False,91.0,FanDuel
401628435,UTEP,13,2024,7.5,29.72,22.22,BET TENNESSEE,100,56,True,91.0,FanDuel
401628446,Vanderbilt,14,2024,7.5,21.04,13.54,BET TENNESSEE,100,13,True,91.0,FanDuel
401677177,Ohio State,1,2024,7.5,-5.44,-12.940000000000001,BET OPPONENT,100,-25,False,91.0,FanDuel
