feature,importance
opponent_elo,0.21416058732503943
away_off_ppa,0.110229940291876
away_recruiting_points,0.0701591175377777
away_talent_score,0.05552919914241181
tennessee_elo,0.039728466482436504
home_def_stuff_rate,0.02894987129588824
is_conference_game,0.026416721834425054
home_def_explosiveness,0.024969358839186263
talent_score_diff,0.02442890700801031
season,0.019692176812331545
home_weekly_rolling_margin,0.01646596999427373
away_weekly_rolling_papg,0.016133584420223536
off_success_rate_diff,0.014174379981256178
weekly_rolling_ppg_diff,0.012937013069869179
def_ppa_diff,0.012898623654453455
away_weekly_momentum_margin,0.011305864526432306
away_weekly_rolling_win_rate,0.01108404234165789
away_weekly_points_allowed_per_game,0.010738915687011644
elo_difference,0.010600790399993782
weekly_rolling_margin_diff,0.01043864362266283
weekly_rolling_papg_diff,0.010028231383529783
weekly_points_allowed_per_game_diff,0.009746033041370035
weekly_momentum_margin_diff,0.009674698715745373
away_weekly_rolling_ppg,0.008748125921836223
weekly_momentum_papg_diff,0.008457768886950424
home_weekly_points_allowed_per_game,0.008349932133418675
off_ppa_diff,0.008277342660800083
away_off_power_success,0.008162320316896657
home_weekly_rolling_ppg,0.00775938144647884
weekly_momentum_ppg_diff,0.00728997407072196
home_def_ppa,0.007201670659865818
away_off_success_rate,0.007128021435106058
home_weekly_trend_papg,0.006631986562100039
home_weekly_trend_margin,0.0064489364649223365
weekly_points_per_game_diff,0.006273762448686466
home_off_power_success,0.006151291650497575
home_def_power_success,0.005959189701958329
home_weekly_rolling_win_rate,0.00568474786662979
recruiting_rank_diff,0.005434420501881965
weekly_trend_margin_diff,0.005209818678603943
home_weekly_rolling_papg,0.00511731979210368
away_recruiting_rank,0.004852004432500741
weekly_margin_per_game_diff,0.004743212851200762
away_weekly_rolling_margin,0.004445263490249729
home_recruiting_points,0.00424374229519494
home_weekly_momentum_ppg,0.00402595533922367
home_weekly_momentum_papg,0.0039959656771849875
home_weekly_games_played,0.0036027993936071077
home_recruiting_rank,0.003563569411677451
is_neutral_site,0.003525600140286931
away_def_power_success,0.0032590184908674338
home_talent_score,0.003158912793884416
home_off_stuff_rate,0.0029950527711982786
weekly_rolling_win_rate_diff,0.002916532054750503
weekly_trend_ppg_diff,0.0026693656442051844
weekly_trend_win_rate_diff,0.0025623305463972263
week,0.00249053078865757
away_weekly_trend_win_rate,0.002417651117146993
home_off_explosiveness,0.0023522564390633565
away_weekly_points_per_game,0.0022670667526401554
attendance,0.0022660516702506907
home_def_success_rate,0.002097648588047234
away_weekly_margin_per_game,0.0020628280952032525
home_weekly_margin_per_game,0.0020271102518605614
home_weekly_momentum_margin,0.001854050191465219
home_off_ppa,0.0018139438582201071
away_weekly_momentum_ppg,0.0018100989570127935
home_weekly_wins,0.001737796429027834
home_weekly_trend_win_rate,0.001724833355684944
away_weekly_trend_ppg,0.001570071848416992
def_success_rate_diff,0.0015251697679923822
home_weekly_points_per_game,0.0014565659871142046
off_explosiveness_diff,0.0014518257907952345
weekly_trend_papg_diff,0.0014142781127242277
away_weekly_momentum_papg,0.001298759682656283
away_def_stuff_rate,0.0012670537605131088
home_weekly_momentum_win_rate,0.0012273033341421646
weekly_momentum_win_rate_diff,0.0010640593808002587
away_weekly_losses,0.000989255891611609
weekly_win_rate_diff,0.000985531104341569
away_def_explosiveness,0.0009773570918235
away_off_stuff_rate,0.0009022659974812181
home_weekly_trend_ppg,0.0008696703475323205
away_off_explosiveness,0.0007920164129638979
away_weekly_wins,0.0007252191292010143
away_weekly_momentum_win_rate,0.0007187556795736918
home_weekly_win_rate,0.0006148760470715114
home_off_success_rate,0.0005704585639312272
away_def_success_rate,0.0005071841480200483
away_weekly_trend_margin,0.0004582169112132462
is_early_season,0.0003989151567388485
is_late_season,0.00036468853798660313
away_weekly_trend_papg,0.0003627803013284238
away_weekly_games_played,0.0003262081029109391
away_weekly_win_rate,0.00031261324838629417
away_def_ppa,0.00024543975237779317
is_mid_season,0.00017139471059327094
home_weekly_losses,0.000133841473605305
is_home_game,3.1815029293600754e-05
is_postseason,8.068262827828594e-06
